Ticker,Name,Sub_Industry_Orig,Sub_Industry,Industry,Industry_Group,Sector,Market_Cap
A,"Agilent Technologies, Inc.",Diagnostics & Research,Health Care Equipment,Health Care Equipment & Supplies,Health Care Equipment & Services,Health Care,29.29B
AA,Alcoa Corporation,Aluminum,Aluminum,Metals & Mining,Materials,Materials,6.50B
AACB,Artius II Acquisition Inc.,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,269.85M
AACG,ATA Creativity Global,Education & Training Services,Education Services,Diversified Consumer Services,Consumer Services,Consumer Discretionary,30.25M
AACT,Ares Acquisition Corporation II,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,700.00M
AAL,American Airlines Group Inc.,Airlines,Passenger Airlines,Passenger Airlines,Transportation,Industrials,6.19B
AAM,AA Mission Acquisition Corp.,Shell Companies,Shell Companies,Shell Companies,Shell Companies,Shell Companies,452.05M
AAME,Atlantic American Corporation,Insurance - Life,Life & Health Insurance,Insurance,Insurance,Financials,29.18M
AAMI,Acadian Asset Management Inc.,Asset Management,Asset Management & Custody Banks,Capital Markets,Financial Services,Financials,990.53M
AAOI,"Applied Optoelectronics, Inc.",Communication Equipment,Communications Equipment,Communications Equipment,Technology Hardware & Equipment,Information Technology,522.35M
AAON,"AAON, Inc.",Building Products & Equipment,Building Products,Building Products,Capital Goods,Industrials,6.54B
AAP,"Advance Auto Parts, Inc.",Specialty Retail,Other Specialty Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,Consumer Discretionary,1.85B
AAPG,Ascentage Pharma Group International,Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,1.63B
AAPL,Apple Inc.,Consumer Electronics,Consumer Electronics,Household Durables,Consumer Durables & Apparel,Consumer Discretionary,"2,918.34B"
AARD,"Aardvark Therapeutics, Inc.",Biotechnology,Biotechnology,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,162.72M
